	education	like	username	work	edu_str	cities	countries	followers	following
0	"['High School', ""Bachelor's Degree""]"	['Waking up early', 'Cats', 'Dogs', 'Tea', 'Coffee', 'Wine', 'Beer', 'Drinking alcohol', '420', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Hiking', 'Climbing', 'Outdoors', 'Yoga', 'Diving', 'Swimming', 'Cycling', 'Reading', 'Gaming', 'Introvert', 'Third Culture Kid', 'Beach', 'Shopping', 'History', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Photography', 'Cooking', 'Backpacking', 'Centrist politics']	@lewellenmichael	['Software Dev', 'Startup Founder', 'Finance', 'Crypto', 'Product Manager', 'Education', 'Data', 'Ecommerce']	High School, Bachelor's Degree	4	2	1	2
1			@waylandchin			9	6	0	2
2			@karan			14	5	2	1
3			@skaboss217			1	1	0	1
4			@apwn	['Web Dev']		0	0	17	426
5			@samcalma			0	0	3	3
6			@paulbremer			25	9	4	9
7	"['High School', ""Bachelor's Degree"", ""Master's Degree""]"	['Waking up early', 'Staying up late', 'Cats', 'Tea', 'Wine', 'Beer', 'Drinking alcohol', 'No alcohol', 'Eating meat', 'Vegetarian', 'Korean food', 'Japanese food', 'Chinese food', 'Crossfit', 'Hiking', 'Climbing', 'Spiritual', 'Surfing', 'Swimming', 'Running', 'Snowboarding', 'Tennis', 'Extrovert', 'Introvert', 'Philosophy', 'Movies', 'Writing', 'Backpacking', 'Dancing', 'Partying']	@jtompl	['Web Dev', 'Software Dev', 'Startup Founder', 'Product Manager', 'Education', 'Politics', 'Creative', 'SaaS']	High School, Bachelor's Degree, Master's Degree	15	6	2	3
8			@jezfx			3	3	17	23
9			@markcaggiano			0	0	2	2
10			@ndbroadbent	['Software Dev', 'Startup Founder']		0	0	11	17
11			@tedavery			2	2	11	6
12			@walkertraylor			0	0	5	9
13		['Yoga', 'Tennis']	@khassett			39	19	8	7
14	"[""Master's Degree""]"	['Beer', 'Eating meat', 'Snowboarding', 'Beach', 'Partying']	@jaszczakw	['Web Dev', 'Software Dev']	Master's Degree	9	4	0	1
15	"['High School', ""Bachelor's Degree""]"	['Waking up early', 'Staying up late', 'Tea', 'Cocktails', 'Wine', 'Beer', 'Drinking alcohol', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Outdoors', 'Spiritual', 'Cycling', 'Motorcycling', 'Sailing', 'Football', 'Reading', 'Gaming', 'Extrovert', 'Beach', 'History', 'Documentaries', 'Philosophy', 'Movies', 'Acoustic music', 'Photography', 'Film making', 'Cooking', 'Backpacking', 'Vanlife', 'Dancing', 'Partying', 'Progressive politics']	@anigupta	['Web Dev', 'Software Dev', 'Startup Founder', 'Product Manager']	High School, Bachelor's Degree	12	9	9	6
16	"['High School', ""Bachelor's Degree""]"	['Waking up early', 'Dogs', 'Tea', 'Coffee', 'Beer', 'Paleo', 'Eating meat', 'Vegetarian', 'Mexican food', 'Crossfit', 'Fitness', 'Hiking', 'Climbing', 'Outdoors', 'Yoga', 'Beach', 'History', 'Documentaries', 'Acoustic music', 'Electronic music', 'Writing', 'Photography', 'Vanlife']	@adventureinmyveins	['Web Dev', 'Startup Founder']	High School, Bachelor's Degree	3	2	3	3
17			@ayoungh	['Startup Founder']		1	1	5	34
18		['Waking up early', 'Cats', 'Coffee', 'Snowboarding', 'Introvert', 'Third Culture Kid']	@travelingpm	['Startup Founder', 'Finance', 'Product Manager', 'Ecommerce']		51	26	25	23
19	"[""Bachelor's Degree""]"	['Dogs', 'Coffee', 'Cocktails', 'Beer', 'Drinking alcohol', 'Eating meat', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Hiking', 'Diving', 'Swimming', 'Cycling', 'Football', 'Reading', 'Gaming', 'Extrovert', 'Beach', 'Shopping', 'History', 'Documentaries', 'Movies', 'Acoustic music', 'Electronic music', 'Photography', 'Cooking', 'Backpacking', 'Partying']	@fillipecordeiro	['Web Dev', 'Software Dev', 'Mobile Dev', 'Startup Founder', 'Education', 'Blogging', 'Marketing']	Bachelor's Degree	0	0	1	4
20			@cartogram			29	10	1	4
21			@gnefkow			13	8	1	4
22			@edu_sunandco			1	1	61	120
23	"[""Master's Degree""]"	['Staying up late', 'Coffee', 'Wine', 'Beer', 'Drinking alcohol', 'Eating meat', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Fitness', 'Fight sports', 'Reading', 'Documentaries', 'Movies', 'Acoustic music', 'Partying']	@voising	['Web Dev', 'Software Dev']	Master's Degree	1	1	2	2
24			@brianavecchione	['Data']		29	8	11	10
25			@eugn23	['Startup Founder']		0	0	0	2
26			@cognitr0n			1	1	1	2
27			@kylebenson			0	0	2	5
28			@marcusmeurer	['Startup Founder']		12	6	93	10
29			@heliocordeiro			0	0	3	4
30			@___sarto			0	0	2	2
31			@rolf10	['Startup Founder']		10	6	6	1
32		['Hiking', 'Climbing', 'Diving', 'Kitesurfing', 'Motorcycling', 'Sailing', 'Skiing']	@dotnet	['Web Dev', 'Software Dev', 'Startup Founder']		38	17	9	16
33			@oneawaytravel			0	0	14	14
34			@eot_fly			2	1	27	33
35			@weberec7			4	3	0	1
36			@poppyjikko			3	3	9	14
37			@austinmao	['Startup Founder', 'Marketing']		0	0	0	2
38			@laudowicz			15	6	4	25
39	"[""Bachelor's Degree""]"	['Waking up early', 'Staying up late', 'Wine', 'Eating fish', 'Korean food', 'Japanese food', 'Mexican food', 'Italian food', 'Chinese food', 'Diving', 'Swimming', 'Sailing', 'Snowboarding', 'Skiing', 'Beach', 'Acoustic music', 'Electronic music', 'Photography', 'Film making']	@dianabaz	['UI/UX Design', 'Creative']	Bachelor's Degree	22	13	5	15
40			@geonomad			1	1	5	2
41	"[""Bachelor's Degree""]"	['Waking up early', 'Staying up late', 'Dogs', 'Coffee', 'Cocktails', 'Wine', 'Extrovert']	@keegansard	['Startup Founder', 'Crypto', 'Education', 'Politics', 'Sales']	Bachelor's Degree	9	6	8	7
42			@theyough			2	1	6	5
43		['Dogs', 'Tea', 'Coffee', 'Cocktails', 'Beer', 'Vegetarian', 'Japanese food', 'Italian food', 'Surfing', 'Running', 'Football', 'Reading', 'Gaming', 'Movies', 'Electronic music', 'Photography', 'Film making', 'Partying']	@guar47	['Software Dev']		3	2	5	11
44			@rimu			11	6	4	2
45			@zot24			5	4	12	9
46			@anistartup	['Marketing']		0	0	6	6
47			@jacobjay	['Web Dev', 'Software Dev', 'UI/UX Design', 'Startup Founder', 'Creative', 'Community', 'Ecommerce', 'Geo', 'Architecture', 'Hospitality']		19	9	10	11
48			@creative_nomad_			4	4	4	7
49			@chrismauerer			0	0	1	2
50		['Paleo', 'Fitness', 'Yoga', 'Spiritual', 'Swimming', 'Reading', 'Extrovert', 'Third Culture Kid', 'Documentaries', 'Philosophy', 'Acoustic music', 'Backpacking', 'Dancing']	@stevenzhang	['Software Dev']		9	5	5	7
51			@patricktdang			0	0	1	3
52		['Waking up early', 'Cats', 'Dogs', 'Wine', 'Vegetarian', 'Mexican food', 'Italian food', 'Reading', 'Beach', 'History', 'Writing', 'Cooking', 'Backpacking', 'Dancing']	@cristal_dyer	['Journalism', 'Blogging']		3	2	3	4
53			@0chucha0			2	2	1	2
54			@nzieber	['Startup Founder', 'Community']		10	8	20	24
55			@bryanseversky			5	4	0	2
56			@maxicareercoach	['Coach']		2	2	10	13
57	"[""Master's Degree""]"		@aaleksandar	['Web Dev', 'Startup Founder', 'Product Manager', 'Journalism', 'Data', 'Community', 'Architecture']	Master's Degree	27	20	7	5
58			@avermat			5	5	2	1
59			@jrdnbshp	['Startup Founder']		2	2	24	23
60			@srendi			3	2	0	1
61			@jebeor			3	3	6	6
62			@asherhunt			0	0	20	14
