1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug
492.0,4.0,42.0,946.0,1.0,0.7,1.4,3.0,961.0,626.0,2.0,1.0,3.0,3.0,3.0,2.0,16.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,4.03,Latin America,Mexico,mexico-city-mexico
223.0,3.0,19.0,976.0,1.0,0.63,1.11,3.0,697.0,349.0,2.0,1.0,3.0,4.0,3.0,2.0,10.0,2.0,3.0,2.0,3.0,1.7537773516111237,0.0,0.0,2.0,3.0,4.0,4.0,4.51,Latin America,Mexico,cancun-mexico
503.0,2.0,68.0,1312.0,1.0662196989600998,0.54,0.7,3.0,1064.0,631.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,3.0,2.043747692561886,1.0,0.0,3.0,2.0,1.0,1.0,4.45,Middle East,Jordan,amman-jordan
426.0,2.0,23.0,885.0,2.0,0.44,1.41,3.0,789.0,522.0,2.0,1.0,2.0,3.0,1.0,1.0,18.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,4.0,4.83,Asia,Vietnam,ho-chi-minh-city-vietnam
2740.0,2.0,49.0,2135.0,3.0,1.06,3.4,1.0,2801.0,2347.0,2.0,1.0,2.0,4.0,2.0,1.0,44.0,3.0,4.0,2.0,3.0,2.0,0.0,0.0,3.0,4.0,3.0,4.0,4.11,Asia,China,hong-kong-china
401.0,2.0,59.0,1586.0,3.0,0.53,3.9,3.0,1053.0,686.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,3.52,Asia,China,zhuhai-china
418.0,3.0,24.0,1312.0,3.0,0.69,2.35,3.0,891.0,591.0,2.0,1.0,3.0,2.0,3.0,1.0,19.0,3.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,4.54,Asia,Thailand,phuket-thailand
619.0,4.0,29.0,976.0,1.0,0.62,2.47,3.0,1067.0,832.0,2.0,1.0,3.0,2.0,3.0,3.0,16.0,1.0,2.0,2.0,3.0,2.3832532594174496,1.0,0.0,3.0,3.0,1.0,4.0,4.45,Asia,Malaysia,kuala-lumpur-malaysia
451.0,3.0,21.0,1159.0,1.0,0.67,1.74,3.0,907.0,579.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.7811674656686347,1.0,0.0,2.0,2.0,4.0,2.0,3.9,Asia,Cambodia,phnom-penh-cambodia
198.0,2.0,57.0,1037.0,1.0,0.3,0.37,3.0,506.0,228.0,1.0,1.0,2.0,2.0,1.0,1.0,12.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,4.0,3.25,Asia,India,chennai-india
102.0,2.0,187.0,915.0,1.0,0.33,0.91,3.0,458.0,200.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0,3.5,Asia,India,jaipur-india
