	coffee_in_cafe	cost_beer	cost_coworking	cost_expat	cost_nomad	female_friendly	fragile_states_index	free_wifi_available	freedom_score	friendly_to_foreigners	internet_speed	latitude	leisure	lgbt_friendly	life_score	longitude	nightlife	nomadScore	nomad_score	peace_score	place	places_to_work	press_freedom_index	racism	safety	weed
0	1.73	1.73	152.41	1273	1364	1.0	52.7	0.4	0.6	0.6	31	47.497912	0.8	0.27	0.86	19.040235	1.0	1.0	1.0	0.8	Budapest	1.0	28.17	0.4	0.6	0
1	0.85	0.85	98.88	780	777	0.8	78.8	0.6	0.2	0.6	14	18.787747	0.62	0.6	0.75	98.9931284	0.4	0.95	0.95	0.4	Chiang Mai	0.8	44.53	0.4	0.8	0
2	1.99	1.99	159.13	1653	1639	1.0	40.8	0.6	0.8	0.8	15	50.0755381	1.0	0.6	0.83	14.4378005	1.0	0.94	0.94	0.8	Prague	1.0	16.66	0.42	0.8	1
3	1.88	1.88	47.01	1640	1545	1.0	DotMap(__next__=DotMap())	1.0	0.6	0.8	16	25.091075	1.0	0.8	0.93	121.5598345	0.6	0.94	0.94	DotMap(__next__=DotMap())	Taipei	1.0	24.37	0.0	1.0	0
4	5.0	5.0	200.0	3309	3028	0.8	34	0.6	0.6	0.8	118	30.267153	1.0	0.6	0.95	-97.7430608	1.0	0.94	0.94	0.8	Austin	1.0	22.49	0.8	0.73	0
5	4.0	4.0	250.0	4325	3238	0.8	34	1.0	0.6	0.8	81	25.7616798	1.0	1.0	1.0	-80.1917902	1.0	0.92	0.92	0.8	Miami	1.0	22.49	0.8	0.73	0
6	5.38	5.38	161.3	2197	2554	0.8	39.8	0.6	0.8	0.8	18	40.4167754	0.6	1.0	0.88	-3.7037902	0.8	0.9	0.9	0.8	Madrid	1.0	19.92	0.6	0.8	1
7	5.0	5.0	300.0	2691	3503	0.8	34	0.4	0.6	1.0	23	45.5230622	1.0	0.8	0.95	-122.6764816	1.0	0.9	0.9	0.8	Portland	1.0	22.49	0.8	0.8	1
8	5.0	5.0	490.0	3764	3427	0.8	34	1.0	0.6	1.0	55	32.715738	0.6	0.8	0.92	-117.1610838	1.0	0.89	0.89	0.8	San Diego	1.0	22.49	0.8	0.6	1
9	4.03	4.03	96.78	1859	2245	0.8	39.8	0.24	0.8	0.8	24	28.1235459	0.78	1.0	0.85	-15.4362574	0.8	0.88	0.88	0.8	Las Palmas	0.8	19.92	1.0	0.8	1
